,moves,year_id,month,day,road_type_id,road_desc,source_type_id,source_type_name,fuel_type_id,fuel_type_desc,pollutant_id,pollutant_short_name,avg_speed_bin_id,avg_bin_speed,avg_speed_bin_desc,rate_per_distance,per_diff
133,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,3,10.0,7.5mph <= speed < 12.5mph,0.0029083421,-49.56
134,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,4,15.0,12.5mph <= speed < 17.5mph,0.0038822314,-49.87
135,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,4,15.0,12.5mph <= speed < 17.5mph,0.0019461758000000001,-49.87
136,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,5,20.0,17.5mph <= speed <22.5mph,0.0031708151999999996,-50.15
137,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,5,20.0,17.5mph <= speed <22.5mph,0.0015807456000000001,-50.15
138,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,6,25.0,22.5mph <= speed < 27.5mph,0.0030779985,-49.28
139,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,6,25.0,22.5mph <= speed < 27.5mph,0.0015612911999999999,-49.28
140,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,7,30.0,27.5mph <= speed < 32.5mph,0.0030505104,-48.56
141,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,7,30.0,27.5mph <= speed < 32.5mph,0.0015692343,-48.56
142,MOVES 2014b,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,8,35.0,32.5mph <= speed < 37.5mph,0.0030141921,-48.44
143,MOVES 3,2020,July,Weekday,2,Rural Restricted Access,21,Passenger Car,1,Gasoline,110,PM2.5 Total Exh,8,35.0,32.5mph <= speed < 37.5mph,0.0015541646999999998,-48.44
